n,d,k,k_imposed,steps_choose_false,steps_choose_true,subsample_size,seed
10000,2,3.0,3,9,4,0.01,0
100000,2,3.0,3,9,2,0.01,0
1000000,2,3.0,3,6,1,0.01,0
761940,6,,3,7,1,0.01,0
761940,6,,4,14,1,0.01,0
761940,6,,5,10,1,0.01,0
104820,7,,3,5,1,0.01,0
104820,7,,4,5,1,0.01,0
104820,7,,5,7,2,0.01,0
110527,8,,3,13,3,0.01,0
110527,8,,4,23,3,0.01,0
110527,8,,5,30,2,0.01,0
111753,9,,3,2,2,0.01,0
111753,9,,4,2,2,0.01,0
111753,9,,5,2,1,0.01,0
581835,10,,3,4,1,0.01,0
581835,10,,4,4,1,0.01,0
581835,10,,5,12,2,0.01,0
177147,11,,3,7,2,0.01,0
177147,11,,4,14,2,0.01,0
177147,11,,5,25,2,0.01,0
531441,12,,3,3,1,0.01,0
531441,12,,4,10,2,0.01,0
531441,12,,5,5,2,0.01,0
138509,14,,3,20,9,0.01,0
138509,14,,4,21,4,0.01,0
138509,14,,5,24,10,0.01,0
732977,17,,3,10,2,0.01,0
732977,17,,4,19,2,0.01,0
732977,17,,5,27,4,0.01,0
241600,18,,3,10,2,0.01,0
241600,18,,4,19,4,0.01,0
241600,18,,5,19,4,0.01,0
