,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,1141251877.388311,931640441.1357048,-209611436.25260612,22784,9,5,0,0.01,49,554970804.7409633
1,1101791933.808515,868635678.903557,-233156254.90495813,22784,9,5,0,0.01,49,554970804.7409633
2,1059943676.9846412,855199231.8161508,-204744445.1684903,22784,9,5,0,0.01,49,554970804.7409633
3,1026692231.5504706,1100970695.1103053,74278463.55983472,22784,9,5,0,0.01,49,554970804.7409633
4,991573029.271469,858584420.45487,-132988608.816599,22784,9,5,0,0.01,49,554970804.7409633
5,959693593.284312,943034271.7746058,-16659321.50970626,22784,9,5,0,0.01,49,554970804.7409633
6,933335216.3139029,858039904.9720169,-75295311.3418858,22784,9,5,0,0.01,49,554970804.7409633
7,909975363.7672416,897831760.2737842,-12143603.493457556,22784,9,5,0,0.01,49,554970804.7409633
8,891570451.3725433,698041259.4566544,-193529191.9158889,22784,9,5,0,0.01,49,554970804.7409633
9,876638864.9910074,845367551.01134,-31271313.979667425,22784,9,5,0,0.01,49,554970804.7409633
10,866803813.8032,990316112.2117811,123512298.40858114,22784,9,5,0,0.01,49,554970804.7409633
11,860515784.7673703,862883434.1890396,2367649.4216692448,22784,9,5,0,0.01,49,554970804.7409633
12,856115023.7559001,856119924.6912298,4900.935329675674,22784,9,5,0,0.01,49,554970804.7409633
13,851816019.8663968,860884421.4552389,9068401.588842154,22784,9,5,0,0.01,49,554970804.7409633
14,849034852.4631218,860598870.0876945,11564017.624572754,22784,9,5,0,0.01,49,554970804.7409633
15,846525607.3253233,843707427.25937,-2818180.065953374,22784,9,5,0,0.01,49,554970804.7409633
16,843630607.5909232,858708651.7099562,15078044.11903298,22784,9,5,0,0.01,49,554970804.7409633
17,840567447.7142924,861910945.2988601,21343497.584567662,22784,9,5,0,0.01,49,554970804.7409633
18,836799723.1810917,880461901.7413796,43662178.56028795,22784,9,5,0,0.01,49,554970804.7409633
19,832822616.9144307,829280509.0867751,-3542107.827655673,22784,9,5,0,0.01,49,554970804.7409633
20,830300327.0453416,859163854.634073,28863527.588731408,22784,9,5,0,0.01,49,554970804.7409633
21,829008447.5260527,828886879.6461874,-121567.87986528872,22784,9,5,0,0.01,49,554970804.7409633
22,827792781.1502788,832915300.1098816,5122518.959602833,22784,9,5,0,0.01,49,554970804.7409633
23,826884039.9130288,850951388.285659,24067348.37263012,22784,9,5,0,0.01,49,554970804.7409633
24,826167096.9346368,826875683.8288463,708586.8942095041,22784,9,5,0,0.01,49,554970804.7409633
25,825605509.9042233,838538003.1118027,12932493.207579374,22784,9,5,0,0.01,49,554970804.7409633
26,825049413.9798952,894999780.4621184,69950366.48222315,22784,9,5,0,0.01,49,554970804.7409633
27,824552233.9367878,597519591.871793,-227032642.0649948,22784,9,5,0,0.01,49,554970804.7409633
28,823959616.0533683,839590767.9886972,15631151.93532884,22784,9,5,0,0.01,49,554970804.7409633
29,823522836.5808666,897359066.9622905,73836230.38142395,22784,9,5,0,0.01,49,554970804.7409633
30,823166330.8797258,854024123.6767839,30857792.797058105,22784,9,5,0,0.01,49,554970804.7409633
31,822832610.5642023,866426544.3610088,43593933.796806455,22784,9,5,0,0.01,49,554970804.7409633
32,822512893.662113,830140795.4610666,7627901.798953652,22784,9,5,0,0.01,49,554970804.7409633
33,822134826.3633848,838594150.7597073,16459324.396322489,22784,9,5,0,0.01,49,554970804.7409633
34,821705195.634235,830297614.1153619,8592418.481126904,22784,9,5,0,0.01,49,554970804.7409633
35,821300441.6371224,865156154.0308584,43855712.393736005,22784,9,5,0,0.01,49,554970804.7409633
36,820905352.955946,716356352.5325496,-104549000.42339636,22784,9,5,0,0.01,49,554970804.7409633
37,820563953.0939057,857984478.4945072,37420525.40060151,22784,9,5,0,0.01,49,554970804.7409633
38,820139523.7728908,836012708.7698406,15873184.996949792,22784,9,5,0,0.01,49,554970804.7409633
39,819665757.4904456,839776421.3386618,20110663.848216176,22784,9,5,0,0.01,49,554970804.7409633
40,819268127.8890644,834351249.4383749,15083121.549310446,22784,9,5,0,0.01,49,554970804.7409633
41,818983027.4782066,830052583.057049,11069555.578842402,22784,9,5,0,0.01,49,554970804.7409633
42,818706284.426437,908102165.8843168,89395881.4578799,22784,9,5,0,0.01,49,554970804.7409633
43,818340198.9534545,852665803.2631582,34325604.30970371,22784,9,5,0,0.01,49,554970804.7409633
44,818181959.4972788,897116132.9794046,78934173.48212576,22784,9,5,0,0.01,49,554970804.7409633
45,818042577.8554907,873575060.5906966,55532482.73520589,22784,9,5,0,0.01,49,554970804.7409633
46,817941753.9755092,832430649.1714336,14488895.1959244,22784,9,5,0,0.01,49,554970804.7409633
47,817889604.432122,852743272.281049,34853667.84892702,22784,9,5,0,0.01,49,554970804.7409633
48,817841443.8381848,839666114.0267001,21824670.188515306,22784,9,5,0,0.01,49,554970804.7409633
49,817798839.0636706,841325587.6740767,23526748.61040604,22784,9,5,0,0.01,49,554970804.7409633
